Fund name,Fund type,Total assets,Number of MySuper products authorised,Total number of member accounts,Average member account balance,Proportion of total assets in default or MySuper strategy,One-year rate of return,Five-year rate of return,Ten-year rate of return,Operating expense ratio,Investment expenses ratio
Symetry Personal Retirement Fund,Retail,2159746e3,NA,10572,204,0,6.6000000000000005,6.59,1.849,0.7557405428876687,0
TAL Superannuation and Insurance Fund,Retail,1472373e3,NA,100454,15,6.165693068264631,4.1000000000000005,7.457999999999999,2.864,1.7871119316002493,0.6232365139614314
Tasplan Superannuation Fund,Industry,9048922e3,1,153194,51,53.27874414211992,6.3,8.393,4.1739999999999995,0.5633698575735149,0.18712204632019785
Telstra Superannuation Scheme,Corporate,19990676e3,1,101200,189,31.85740692310755,10.100000000000001,9.661999999999999,4.460999999999999,0.300010551680331,0.44078665472966444
The ARA Retirement Fund,Retail,321646e3,NA,1062,301,0,5.8999999999999995,7.13,4.213,0.10671251848234059,0
The Bendigo Superannuation Plan,Retail,1133259e3,1,19903,56,16.151206387948385,5,7.12,2.936,0.41402534413108083,0.0012565260823401542
The Executive Superannuation Fund,Retail,19761e5,1,39142,49,52.95182430038966,7.199999999999999,8.511000000000001,3.2680000000000002,0.9944956939474519,0.18148889837278268
The Retirement Plan,Retail,3115815e3,NA,16248,191,0,7.9,8.516,2.8129999999999997,0.8083961332469903,0.522373726428133
The State Bank Supersafe Approved Deposit Fund,Retail,11798e3,NA,969,12,0,0.5,1.016,2.145,1.375077688004972,0
The Super Money Eligible Rollover Fund (SMERF),Retail,52355e3,NA,93618,1,NA,4,5.293,3.17,1.556303215984061,0.04698983140048494
The Victorian Independent Schools Superannuation Fund,Industry,708697e3,1,8628,79,53.16813814648573,11.799999999999999,9.596,4.182,0.3425599715764833,0
Tidswell Master Superannuation Plan,Retail,432483e3,NA,9180,46,0,4.2,3.8649999999999998,3.084,2.3584023725863124,0.04577544244221656
Toyota Super,Corporate,950834e3,1,5827,160,55.0923662805495,8.4,9.568999999999999,4.454000000000001,0.32807060565294416,0.023032550379406838
TWU Superannuation Fund,Industry,5024181e3,1,124803,39,90.11530436502984,11.1,10.118,4.547,0.5618714478096504,0.3415167312400206
Ultimate Superannuation Fund,Retail,307612e3,NA,1482,206,0,4.6,NA,NA,0.555780888591693,0
Unisuper,Industry,63096958e3,1,421695,135,24.66677553615184,8.3,11.353,5.825,0.14244746698567942,0.4125643096082899
United Technologies Corporation Retirement Plan,Retail,313904e3,1,2203,138,15.949462255976348,8.4,8.049000000000001,4.891,0.44382225310471207,0.06539821381128527
Victorian Superannuation Fund,Public sector,19349506e3,1,238481,78,54.01533765254782,9.9,9.369,4.413,0.29125005091364004,0.24066682390320604
WA Local Government Superannuation Plan,Public sector,2847168e3,1,39314,71,36.53532211657338,7.1,7.88,3.463,0.46272085232720583,0.2967398898755066
Wealth Personal Superannuation and Pension Fund,Retail,34870087e3,NA,226590,153,0,8,8.094,NA,0.5555344556098175,0
Westpac Mastertrust - Superannuation Division,Retail,5898628e3,1,216627,27,67.22776889812343,7.7,7.5889999999999995,2.788,0.2509027972732033,0
Westpac Personal Superannuation Fund,Retail,396024e3,NA,38560,10,0,6.4,7.102,3.077,0.28309763271807126,0
Zurich Master Superannuation Fund,Retail,1151444e3,NA,39371,29,0,7.000000000000001,7.985,3.519,0.25468135556834925,1.2234640390103353
